"Model","rack units"
"NX3-2","2"
"NX4270M3","2"
"NX5","2"
"NX4200M2","2"
"NX4250","2"
"NX4270","2"
"X5","3"
"X6","2"
"ZS3-2","4"
"X4-4","3"
"E220R","4"
"E250","7"
"E420R","4"
"E450","14"
"E4500","8"
"M10IOU","2"
"M10-4","4"
"M10-4S","4"
"N120","1"
"N1280R2","12"
"N1280","12"
"N1290","12"
"N20","4"
"N210","1"
"N240R2","2"
"N240","2"
"N440R2","5"
"N440","5"
"NE1","1"
"NS7-2","2"
"NT3-1","2"
"NT4-1","2"
"NT4-2","4"
"NstD130","1"
"Nt1400","6"
"Nt1405","6"
"NT1AC200","1"
"NT1DC200","1"
"Nt1105","1"
"NT2000","2"
"NT5220","2"
"NX1","1"
"NX4450","4"
"ASGX3-2","1"
"ASGX4-2","1"
"ASGX5-2","1"
"DAX3-2","4"
"DAX4-2","4"
"DAX5-2","6"
"DAX6-2M","1"
"DAX6-2S","1"
"DA","4"
"XAT5-8","8"
"XAX2-4","3"
"XAX3-4","3"
"XAX4-4","3"
"XAX5-4","3"
"MCS7-2","6"
"PCAER","42"
"PCAX6-2U","Integrated"
"X5-8","5"
"VCAX3-2","42"
"VCAX4-2","42"
"ZS4-4","5"
"ZS3-BA","10"
"PCAX5-2","42"
"M5-32","42"
"M6-32","42"
"M7-16","42"
"M7-8","10"
"S7-2","1"
"S7-2L","2"
"T3-1","2"
"T3-2","3"
"T3-4","5"
"T4-1","2"
"T4-2","3"
"T4-4","5"
"T5-2","3"
"T5-4","5"
"T5-8","8"
"T7-2","3"
"T7-4","5"
"B6000","10"
"B6048","42"
"B8000","19"
"B8000P","14"
"E12K","42"
"E15K","42"
"E280R","4"
"E3800","8.5"
"E4800","17.5"
"E4810","21"
"E6800","28"
"B1600","3"
"E20KR2","42"
"E20K","42"
"E25KR2","42"
"E25K","42"
"E2900R2","12"
"E2900","12"
"E4900R2","17.5"
"E4900","17.5"
"E6900R2","28"
"E6900","28"
"T1000","1"
"T2000R2","2"
"T2000","2"
"V100","1"
"V120","1"
"V125","1"
"V1280R2","12"
"V1280","12"
"V20z","1"
"V210R2","1"
"V210","1"
"V215","1"
"V240R2","2"
"V240","2"
"V245","2"
"V40zR2","3"
"V40z","3"
"V440R2","4"
"V440","4"
"V445","4"
"V480","5"
"V490R2","5"
"V4902100","5"
"V490","5"
"V60x","1"
"V65x","2"
"V880","17"
"V880z","17"
"V890R2","17"
"V8902100","17"
"V890","17"
"X2100R2","1"
"X2100M2","1"
"X2100","1"
"X2200M2","1"
"X2250","1"
"X2270M2","1"
"X2270","1"
"X4100M2","1"
"X4100R2","1"
"X4100","1"
"X4140","1"
"X4150","1"
"X4170M2","1"
"X4170","1"
"X4200R2","2"
"X4200M2","2"
"X4200","2"
"X4240","2"
"X4250","2"
"X4270M2","2"
"X4270","2"
"X4275","2"
"X4370M2","4"
"X4440","2"
"X4450","2"
"X4470","3"
"X4500","4"
"X4540","4"
"X4600M2","4"
"X4600","4"
"X4640","4"
"X4800","5"
"W1100z","n/a"
"LX50","1"
"N6000","10"
"NT5440","4"
"X2-4","3"
"X4470M2","3"
"X2-8","5"
"X4800M2","5"
"X3-2","1"
"X4170M3","1"
"X3-2L","2"
"X4270M3","2"
"X4-2","1"
"X4-2L","2"
"X4-8","5"
"M3000","2"
"M4000","6"
"M5000","10"
"M8000","42"
"M9000","42"
"T5120","1"
"T5140","1"
"T5220","2"
"T5240","2"
"T5440","4"
"Z7120","6"
"U20M2","n/a"
"U20R2","n/a"
"U20","n/a"
"U24","n/a"
"U25","n/a"
"U27","n/a"
"U40","n/a"
"U45","n/a"
"ZFSBA","7"
"Z7320","5"
"Z7420","7"
"Z7720","42"
